Riding,Name,Image,Link,email
Ajax-Pickering,Joe Dickson,http://pantone201.ca/webskins/vote/candidate_photos/9001_thumbnail.jpg,http://joedickson.ca,info@joedickson.ca
Algoma-Manitoulin,Craig Hughson,http://pantone201.ca/webskins/vote/candidate_photos/9002_thumbnail.jpg,http://votehughson.ca,info@votehughson.ca
Ancaster-Dundas-Flamborough-Westdale,Ted McMeekin,http://pantone201.ca/webskins/vote/candidate_photos/9003_thumbnail.jpg,http://votetedmcmeekin.ca,info@votetedmcmeekin.ca
Barrie,Ann Hoggarth,http://pantone201.ca/webskins/vote/candidate_photos/9004_thumbnail.jpg,http://voteannhoggarth.ca,info@voteannhoggarth.ca
Beaches-East York,Arthur Potts,http://pantone201.ca/webskins/vote/candidate_photos/9005_thumbnail.jpg,http://votepotts.ca,info@votepotts.ca
Bramalea-Gore-Malton,Kuldip Kular,http://pantone201.ca/webskins/vote/candidate_photos/9006_thumbnail.jpg,http://votekular.ca,info@votekular.ca
Brampton-Springdale,Harinder Malhi,http://pantone201.ca/webskins/vote/candidate_photos/9007_thumbnail.jpg,http://votemalhi.ca,info@votemalhi.ca
Brampton West,Vic Dhillon,http://pantone201.ca/webskins/vote/candidate_photos/9008_thumbnail.jpg,http://votedhillon.ca,info@votedhillon.ca
Brant,Dave Levac,http://pantone201.ca/webskins/vote/candidate_photos/9009_thumbnail.jpg,http://votedavelevac.ca,info@votedavelevac.ca
Bruce-Grey-Owen Sound,Ellen Anderson,http://pantone201.ca/webskins/vote/candidate_photos/9010_thumbnail.jpg,http://voteellenanderson.ca,info@voteellenanderson.ca
Burlington,Eleanor McMahon,http://pantone201.ca/webskins/vote/candidate_photos/9011_thumbnail.jpg,http://voteeleanor.ca,info@voteeleanor.ca
Cambridge,Kathryn McGarry,http://pantone201.ca/webskins/vote/candidate_photos/9012_thumbnail.jpg,http://votemcgarry.ca,info@votemcgarry.ca
Carleton-Mississippi Mills,Rosalyn Stevens,http://pantone201.ca/webskins/vote/candidate_photos/9013_thumbnail.jpg,http://rosalynstevens.ca,info@rosalynstevens.ca
Chatham-Kent-Essex,Terry Johnson,http://pantone201.ca/webskins/vote/candidate_photos/9014_thumbnail.jpg,http://voteterryjohnson.ca,info@voteterryjohnson.ca
Davenport,Cristina Martins,http://pantone201.ca/webskins/vote/candidate_photos/9015_thumbnail.jpg,http://votecristinamartins.ca,info@votecristinamartins.ca
Don Valley East,Michael Coteau,http://pantone201.ca/webskins/vote/candidate_photos/9016_thumbnail.jpg,http://michaelcoteau.com,info@michaelcoteau.com
Don Valley West,Kathleen Wynne,http://pantone201.ca/webskins/vote/candidate_photos/9017_thumbnail.jpg,http://votekathleenwynne.ca,info@votekathleenwynne.ca
Dufferin-Caledon,Bobbie Daid,http://pantone201.ca/webskins/vote/candidate_photos/9018_thumbnail.jpg,http://votedaid.ca,info@votedaid.ca
Durham,Granville Anderson,http://pantone201.ca/webskins/vote/candidate_photos/9019_thumbnail.jpg,http://voteanderson.ca,info@voteanderson.ca
Eglinton-Lawrence,Mike Colle,http://pantone201.ca/webskins/vote/candidate_photos/9020_thumbnail.jpg,http://mikecolle.ca,info@mikecolle.ca
Elgin-Middlesex-London,Serge Lavoie,http://pantone201.ca/webskins/vote/candidate_photos/9021_thumbnail.jpg,http://votelavoie.ca,info@votelavoie.ca
Essex,Crystal Meloche,http://pantone201.ca/webskins/vote/candidate_photos/9022_thumbnail.jpg,http://votemeloche.ca,info@votemeloche.ca
Etobicoke-Centre,Yvan Baker,http://pantone201.ca/webskins/vote/candidate_photos/9023_thumbnail.jpg,http://voteyvanbaker.ca,info@voteyvanbaker.ca
Etobicoke-Lakeshore,Peter Milczyn,http://pantone201.ca/webskins/vote/candidate_photos/9024_thumbnail.jpg,http://votepetermilczyn.ca,info@votepetermilczyn.ca
Etobicoke-North,Shafiq Qaadri,http://pantone201.ca/webskins/vote/candidate_photos/9025_thumbnail.jpg,http://voteqaadri.ca,info@voteqaadri.ca
Glengarry-Prescott-Russell,Grant Crack,http://pantone201.ca/webskins/vote/candidate_photos/9026_thumbnail.jpg,http://grantcrack.ca,info@grantcrack.ca
Guelph,Liz Sandals,http://pantone201.ca/webskins/vote/candidate_photos/9027_thumbnail.jpg,http://lizsandals.ca,info@lizsandals.ca
Haldimand-Norfolk,Karen Robinson,http://pantone201.ca/webskins/vote/candidate_photos/9028_thumbnail.jpg,http://votekarenrobinson.ca,info@votekarenrobinson.ca
Haliburton-Kawartha Lakes-Brock,Rick Johnson,http://pantone201.ca/webskins/vote/candidate_photos/9029_thumbnail.jpg,http://votejohnson.ca,info@votejohnson.ca
Halton,Indira Naidoo-Harris,http://pantone201.ca/webskins/vote/candidate_photos/9030_thumbnail.jpg,http://voteindira.ca,info@voteindira.ca
Hamilton-Centre,Donna Tiqui-Shebib,http://pantone201.ca/webskins/vote/candidate_photos/9031_thumbnail.jpg,http://electdonna.ca,info@electdonna.ca
Hamilton-East-Stoney Creek,Ivan Luksic,http://pantone201.ca/webskins/vote/candidate_photos/9032_thumbnail.jpg,http://voteivan.ca,info@voteivan.ca
Hamilton Mountain,Javid Mirza,http://pantone201.ca/webskins/vote/candidate_photos/9033_thumbnail.jpg,http://votemirza.ca,info@votemirza.ca
Huron-Bruce,Colleen Schenk,http://pantone201.ca/webskins/vote/candidate_photos/9034_thumbnail.jpg,http://votecolleenschenk.ca,info@votecolleenschenk.ca
Kenora-Rainy River,Anthony Leek,http://pantone201.ca/webskins/vote/candidate_photos/9035_thumbnail.jpg,http://voteleek.ca,info@voteleek.ca
Kingston and the Islands,Sophie Kiwala,http://pantone201.ca/webskins/vote/candidate_photos/9036_thumbnail.jpg,http://sophiekiwala.ca,info@sophiekiwala.ca
Kitchener-Centre,Daiene Vernile,http://pantone201.ca/webskins/vote/candidate_photos/9037_thumbnail.jpg,http://votevernile.ca,info@votevernile.ca
Kitchener-Conestoga,Wayne Wright,http://pantone201.ca/webskins/vote/candidate_photos/9038_thumbnail.jpg,http://votewright.ca,info@votewright.ca
Kitchener-Waterloo,Jamie Burton,http://pantone201.ca/webskins/vote/candidate_photos/9039_thumbnail.jpg,http://jamieburton.ca,info@jamieburton.ca
Lambton-Kent-Middlesex,Mike Radan,http://pantone201.ca/webskins/vote/candidate_photos/9040_thumbnail.jpg,http://voteradan.ca,info@voteradan.ca
Lanark-Frontenac-Lennox and Addington,Bill MacDonald,http://pantone201.ca/webskins/vote/candidate_photos/9041_thumbnail.jpg,http://billmacdonald.ca,info@billmacdonald.ca
Leeds-Grenville,Christine Milks,http://pantone201.ca/webskins/vote/candidate_photos/9042_thumbnail.jpg,http://christinemilks.ca,info@christinemilks.ca
London-Fanshawe,Marcel Marcellin,http://pantone201.ca/webskins/vote/candidate_photos/9043_thumbnail.jpg,http://votemarcellin.ca,info@votemarcellin.ca
London North Centre,Deb Matthews,http://pantone201.ca/webskins/vote/candidate_photos/9044_thumbnail.jpg,http://votedebmatthews.ca,info@votedebmatthews.ca
London West,Nick Steinburg,http://pantone201.ca/webskins/vote/candidate_photos/9045_thumbnail.jpg,http://votesteinburg.ca,info@votesteinburg.ca
Markham-Unionville,Michael Chan,http://pantone201.ca/webskins/vote/candidate_photos/9046_thumbnail.jpg,http://votemichaelchan.ca,info@votemichaelchan.ca
Mississauga-Brampton South,Amrit Mangat,http://pantone201.ca/webskins/vote/candidate_photos/9047_thumbnail.jpg,http://votemangat.ca,info@votemangat.ca
Mississauga East-Cooksville,Dipika Damerla,http://pantone201.ca/webskins/vote/candidate_photos/9048_thumbnail.jpg,http://votedamerla.ca,info@votedamerla.ca
Mississauga-Erindale,Harinder Takhar,http://pantone201.ca/webskins/vote/candidate_photos/9049_thumbnail.jpg,http://votetakhar.com,info@votetakhar.com
Mississauga South,Charles Sousa,http://pantone201.ca/webskins/vote/candidate_photos/9050_thumbnail.jpg,http://votesousa.ca,info@votesousa.ca
Mississauga-Streetsville,Bob Delaney,http://pantone201.ca/webskins/vote/candidate_photos/9051_thumbnail.jpg,http://www.mississaugastreetsville.ca,info@www.mississaugastreetsville.ca
Nepean-Carleton,Jack Uppal,http://pantone201.ca/webskins/vote/candidate_photos/9052_thumbnail.jpg,http://voteuppal.ca,info@voteuppal.ca
Newmarket-Aurora,Chris Ballard,http://pantone201.ca/webskins/vote/candidate_photos/9053_thumbnail.jpg,http://voteballard.ca,info@voteballard.ca
Niagara Falls,Lionel Tupman,http://pantone201.ca/webskins/vote/candidate_photos/9054_thumbnail.jpg,http://votelioneltupman.ca,info@votelioneltupman.ca
Niagara West-Glanbrook,David Mossey,http://pantone201.ca/webskins/vote/candidate_photos/9055_thumbnail.jpg,http://votemossey.ca,info@votemossey.ca
Nickel Belt,James Tregonning,http://pantone201.ca/webskins/vote/candidate_photos/9056_thumbnail.jpg,http://jamestregonning.ca,info@jamestregonning.ca
Nipissing,Catherine Whiting,http://pantone201.ca/webskins/vote/candidate_photos/9057_thumbnail.jpg,http://votewhiting.ca/Home?l=EN,info@votewhiting.ca/Home?l=EN
Northumberland-Quinte West,Lou Rinaldi,http://pantone201.ca/webskins/vote/candidate_photos/9058_thumbnail.jpg,http://votelourinaldi.ca,info@votelourinaldi.ca
Oak Ridges-Markham,Helena Jaczek,http://pantone201.ca/webskins/vote/candidate_photos/9059_thumbnail.jpg,http://votehelena.ca,info@votehelena.ca
Oakville,Kevin Flynn,http://pantone201.ca/webskins/vote/candidate_photos/9060_thumbnail.jpg,http://kevinflynn.ca,info@kevinflynn.ca
Oshawa,Esrick Quintyn,http://pantone201.ca/webskins/vote/candidate_photos/9061_thumbnail.jpg,http://votequintyn.ca,info@votequintyn.ca
Ottawa-Centre,Yasir Naqvi,http://pantone201.ca/webskins/vote/candidate_photos/9062_thumbnail.jpg,http://yasirnaqvi.ca,info@yasirnaqvi.ca
Ottawa-Orl&#233;ans,Marie-France Lalonde,http://pantone201.ca/webskins/vote/candidate_photos/9063_thumbnail.jpg,http://mariefrancelalonde.ca,info@mariefrancelalonde.ca
Ottawa South,John Fraser,http://pantone201.ca/webskins/vote/candidate_photos/9064_thumbnail.jpg,http://votejohnfraser.ca,info@votejohnfraser.ca
Ottawa-Vanier,Madeleine Meilleur,http://pantone201.ca/webskins/vote/candidate_photos/9065_thumbnail.jpg,http://votemeilleur.ca,info@votemeilleur.ca
Ottawa West-Nepean,Bob Chiarelli,http://pantone201.ca/webskins/vote/candidate_photos/9066_thumbnail.jpg,http://bobchiarelli.com,info@bobchiarelli.com
Oxford,Dan Moulton,http://pantone201.ca/webskins/vote/candidate_photos/9067_thumbnail.jpg,http://votemoulton.ca,info@votemoulton.ca
Parkdale-High Park,Nancy Leblanc,http://pantone201.ca/webskins/vote/candidate_photos/9068_thumbnail.jpg,http://nancyleblanc.ca,info@nancyleblanc.ca
Parry Sound-Muskoka,Dan Waters,http://pantone201.ca/webskins/vote/candidate_photos/9069_thumbnail.jpg,http://votewaters.ca,info@votewaters.ca
Perth-Wellington,Stewart Skinner,http://pantone201.ca/webskins/vote/candidate_photos/9070_thumbnail.jpg,http://voteskinner.ca,info@voteskinner.ca
Peterborough,Jeff Leal,http://pantone201.ca/webskins/vote/candidate_photos/9071_thumbnail.jpg,http://jeffleal.ca,info@jeffleal.ca
Pickering-Scarborough East,Tracy MacCharles,http://pantone201.ca/webskins/vote/candidate_photos/9072_thumbnail.jpg,http://votemaccharles.ca,info@votemaccharles.ca
Prince Edward-Hastings,Georgina  Thompson,http://pantone201.ca/webskins/vote/candidate_photos/9073_thumbnail.jpg,http://georginathompson.ca,info@georginathompson.ca
Renfrew-Nipissing-Pembroke,Rod Boileau,http://pantone201.ca/webskins/vote/candidate_photos/9074_thumbnail.jpg,http://voterodboileau.ca,info@voterodboileau.ca
Richmond Hill,Reza Moridi,http://pantone201.ca/webskins/vote/candidate_photos/9075_thumbnail.jpg,http://votereza.ca,info@votereza.ca
St. Catharines,Jim Bradley,http://pantone201.ca/webskins/vote/candidate_photos/9076_thumbnail.jpg,http://votebradley.ca,info@votebradley.ca
St. Paul's,Eric Hoskins,http://pantone201.ca/webskins/vote/candidate_photos/9077_thumbnail.jpg,http://votehoskins.ca,info@votehoskins.ca
Sarnia-Lambton,Anne Marie Gillis,http://pantone201.ca/webskins/vote/candidate_photos/9078_thumbnail.jpg,http://votegillis.ca,info@votegillis.ca
Sault Ste. Marie,David Orazietti,http://pantone201.ca/webskins/vote/candidate_photos/9079_thumbnail.jpg,http://voteorazietti.ca,info@voteorazietti.ca
Scarborough-Agincourt,Soo Wong,http://pantone201.ca/webskins/vote/candidate_photos/9080_thumbnail.jpg,http://votesoowong.com,info@votesoowong.com
Scarborough-Centre,Brad Duguid,http://pantone201.ca/webskins/vote/candidate_photos/9081_thumbnail.jpg,http://bradduguid.ca,info@bradduguid.ca
Scarborough-Guildwood,Mitzie Hunter,http://pantone201.ca/webskins/vote/candidate_photos/9082_thumbnail.jpg,http://votehunter.ca,info@votehunter.ca
Scarborough-Rouge River,Bas Balkissoon,http://pantone201.ca/webskins/vote/candidate_photos/9083_thumbnail.jpg,http://votebas.com,info@votebas.com
Scarborough Southwest,Lorenzo Berardinetti,http://pantone201.ca/webskins/vote/candidate_photos/9084_thumbnail.jpg,http://votelorenzo.ca,info@votelorenzo.ca
Simcoe-Grey,Lorne Kenney,http://pantone201.ca/webskins/vote/candidate_photos/9085_thumbnail.jpg,http://lornekenney.ca,info@lornekenney.ca
