Riding,Name,Image,Link,email
Haliburton-Kawartha Lakes-Brock,Don Abel,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/donabel.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=76,DonAbel@ontariondp.ca
Don Valley-West,Khalid Ahmed,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/khalidahmed.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1582,KhalidAhmed@ontariondp.ca
London-Fanshawe,Teresa Armstrong,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/teresaarmstrong.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=100,TeresaArmstrong@ontariondp.ca
Scarborough Centre,Carol Baker,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/CarolBaker.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1672,CarolBaker@ontariondp.ca
Etobicoke North,Nigel Barriffe,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/NigelBariffee.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=68,NigelBarriffe@ontariondp.ca
Mississauga-Erindale,Michelle Bilek,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/michellebilek.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=104,MichelleBilek@ontariondp.ca
Timmins-James Bay,Gilles Bisson,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/gillesbisson.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=154,GillesBisson@ontariondp.ca
York-Simcoe,Laura Bowman,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/laurabowman.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=174,LauraBowman@ontariondp.ca
Barrie,David Bradbury,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/davidbradbury.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1513,DavidBradbury@ontariondp.ca
Renfrew-Nipissing-Pembroke,Brian Dougherty,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/briandougherty.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1792,BrianDougherty@ontariondp.ca
Willowdale,Alexander Brown,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/alexanderbrown.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=166,AlexanderBrown@ontariondp.ca
London North Centre,Judy Bryant,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/judybriant.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=96,JudyBryant@ontariondp.ca
