Riding,Name,Image,Link,email
Ajax-Pickering,Todd McCarthy,http://ontariopc.com/images/candidates/1.jpg,http://ajaxpickering.ontariopc.com,none available
Algoma-Manitoulin,Jib Turner,http://ontariopc.com/images/candidates/2.jpg,http://algomamanitoulin.ontariopc.com,none available
Ancaster-Dundas-Flamborough-West,Donna Skelly,http://ontariopc.com/images/candidates/3.jpg,http://adfw.ontariopc.com,none available
Barrie,Rod Jackson,http://ontariopc.com/images/candidates/4.jpg,http://barrie.ontariopc.com,none available
Beaches-East York,Nicolas Johnson,http://ontariopc.com/images/candidates/5.jpg,http://bey.ontariopc.com,none available
Bramlea-Gore-Malton,Harjit Jaswal,http://ontariopc.com/images/candidates/6.jpg,http://bgm.ontariopc.com,none available
Brampton-Springdale,Pam Hundal,http://ontariopc.com/images/candidates/7.jpg,http://bramptonspringdale.ontariopc.com,none available
Brampton West,Randeep Sandhu,http://ontariopc.com/images/candidates/8.jpg,http://bramptonwest.ontariopc.com,none available
Brant,Phil Gillies,http://ontariopc.com/images/candidates/9.jpg,http://brant.ontariopc.com,none available
Bruce-Grey-Owen-Sound,Bill Walker,http://ontariopc.com/images/candidates/10.jpg,http://bgos.ontariopc.com,none available
Burlington,Jane McKenna,http://ontariopc.com/images/candidates/11.jpg,http://burlington.ontariopc.com,none available
Cambridge,Rob Leone,http://ontariopc.com/images/candidates/12.jpg,http://cambridge.ontariopc.com,none available
Carleton-Mississippi Mills,Jack MacLaren,http://ontariopc.com/images/candidates/13.jpg,http://cmm.ontariopc.com,none available
Chatham-Kent-Essex,Rick Nicholls,http://ontariopc.com/images/candidates/14.jpg,http://cke.ontariopc.com,none available
Davenport,Lan Daniel,http://ontariopc.com/images/candidates/15.jpg,http://davenport.ontariopc.com,none available
Don Valley East,Angela Kennedy,http://ontariopc.com/images/candidates/16.jpg,http://dve.ontariopc.com,none available
Don Valley West,David Porter,http://ontariopc.com/images/candidates/17.jpg,http://dvw.ontariopc.com,none available
Dufferin-Caledon,Sylvia Jones,http://ontariopc.com/images/candidates/18.jpg,http://dufferincaledon.ontariopc.com,none available
Durham,Mike Patrick,http://ontariopc.com/images/candidates/19.jpg,http://durham.ontariopc.com,none available
Eglinton-Lawrence,Robin Martin,http://ontariopc.com/images/candidates/20.jpg,http://eglintonlawrence.ontariopc.com,none available
Elgin-Middlesex-London,Jeff Yurek,http://ontariopc.com/images/candidates/21.jpg,http://eml.ontariopc.com,none available
Essex,Ray Cecile,http://ontariopc.com/images/candidates/22.jpg,http://essex.ontariopc.com,none available
Etobicoke Centre,Pina Martino,http://ontariopc.com/images/candidates/23.jpg,http://etobicokecentre.ontariopc.com,none available
Etobicoke-Lakeshore,Doug Holyday,http://ontariopc.com/images/candidates/24.jpg,http://etobicokelakeshore.ontariopc.com,none available
Etobicoke North,Tony Milone,http://ontariopc.com/images/candidates/25.jpg,http://etobicokenorth.ontariopc.com,none available
Glengarry-Prescott-Russell,Roxane Vileneuve Robertson,http://ontariopc.com/images/candidates/26.jpg,http://gpr.ontariopc.com,none available
Guelph,Anthony MacDonald,http://ontariopc.com/images/candidates/27.jpg,http://guelph.ontariopc.com,none available
Haldimand-Norfolk,Toby Barrett,http://ontariopc.com/images/candidates/28.jpg,http://haldimandnorfolk.ontariopc.com,none available
Haliburton-Kawartha Lakes-Brock,Laurie Scott,http://ontariopc.com/images/candidates/29.jpg,http://hklb.ontariopc.com,none available
Halton,Ted Chudleigh,http://ontariopc.com/images/candidates/30.jpg,http://halton.ontariopc.com,none available
Hamilton Centre,John Vail,http://ontariopc.com/images/candidates/31.jpg,http://hamiltoncentre.ontariopc.com,none available
Hamilton East-Stoney Creek,David Brown,http://ontariopc.com/images/candidates/32.jpg,http://hesc.ontariopc.com,none available
Hamilton Mountain,Albert Marshall,http://ontariopc.com/images/candidates/33.jpg,http://hamiltonmountain.ontariopc.com/,none available
Huron-Bruce,Lisa Thompson,http://ontariopc.com/images/candidates/34.jpg,http://huronbruce.ontariopc.com,none available
Kenora-Rainy River,Randy Nickle,http://ontariopc.com/images/candidates/35.jpg,http://krr.ontariopc.com,none available
Kingston and the Islands,Mark Bain,http://ontariopc.com/images/candidates/36.jpg,http://kati.ontariopc.com,none available
Kitchener Centre,Wayne Wettlaufer,http://ontariopc.com/images/candidates/37.jpg,http://kitchenercentre.ontariopc.com,none available
Kitchener-Conestoga,Michael Harris,http://ontariopc.com/images/candidates/38.jpg,http://kitchenerconestoga.ontariopc.com,none available
Kitchener-Waterloo,Tracey Weiler,http://ontariopc.com/images/candidates/39.jpg,http://kitchenerwaterloo.ontariopc.com,none available
Lambton-Kent-Middlesex,Monte McNaughton,http://ontariopc.com/images/candidates/40.jpg,http://lkm.ontariopc.com,none available
Lanark-Frontenac-Lennox and Addington,Randy Hillier,http://ontariopc.com/images/candidates/41.jpg,http://lfla.ontariopc.com,none available
Leeds-Grenville,Steve Clark,http://ontariopc.com/images/candidates/42.jpg,http://leedsgrenville.ontariopc.com,none available
London-Fanshawe,Chris Robson,http://ontariopc.com/images/candidates/43.jpg,http://londonfanshawe.ontariopc.com,none available
London North Centre,Nancy Branscombe,http://ontariopc.com/images/candidates/44.jpg,http://lnc.ontariopc.com,none available
London West,Jeff Bennett,http://ontariopc.com/images/candidates/45.jpg,http://londonwest.ontariopc.com,none available
Markham-Unionville,Shan Thayaparan,http://ontariopc.com/images/candidates/46.jpg,http://markhamunionville.ontariopc.com,none available
Mississauga-Brampton South,Amarjeet Gill,http://ontariopc.com/images/candidates/47.jpg,http://mbs.ontariopc.com,none available
Mississauga East-Cooksville,Zoran Churchin,http://ontariopc.com/images/candidates/48.jpg,http://mec.ontariopc.com,none available
Mississauaga Erindale,Jeff White,http://ontariopc.com/images/candidates/49.jpg,http://mississaugaerindale.ontariopc.com,none available
Mississauga South,Effie Triantafilopoulos,http://ontariopc.com/images/candidates/50.jpg,http://mississaugasouth.ontariopc.com,none available
Mississauaga Streetsville,Nina Tangri,http://ontariopc.com/images/candidates/51.jpg,http://mississaugastreetsville.ontariopc.com,none available
Nepean-Carleton,Lisa MacLeod,http://ontariopc.com/images/candidates/52.jpg,http://nepeancarleton.ontariopc.com,none available
Newmarket-Aurora,Jane Twinney,http://ontariopc.com/images/candidates/53.jpg,http://newmarketaurora.ontariopc.com,none available
Niagara Falls,Bart Maves,http://ontariopc.com/images/candidates/54.jpg,http://niagarafalls.ontariopc.com,none available
Niagara West-Glanbrook,Tim Hudak,http://ontariopc.com/images/candidates/55.jpg,http://nwg.ontariopc.com,none available
Nickel Belt,Marck Blay,http://ontariopc.com/images/candidates/56.jpg,http://nickelbelt.ontariopc.com,none available
Nipissing,Vic Fedeli,http://ontariopc.com/images/candidates/57.jpg,http://nipissing.ontariopc.com,none available
Northumberland-Quinte West,Rob Milligan,http://ontariopc.com/images/candidates/58.jpg,http://nqw.ontariopc.com,none available
Oak Ridges-Markham,Farid Wassef,http://ontariopc.com/images/candidates/59.jpg,http://orm.ontariopc.com,none available
Oakville,Larry Scott,http://ontariopc.com/images/candidates/60.jpg,http://oakville.ontariopc.com,none available
